Протокол,Проверенное утверждение,Источник,Проблема,Исправление,Статус
bartonellosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_dilated_cardiomyopathy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_distemper.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_hyperadrenocorticism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_hypoadrenocorticism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_hypothyroidism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_mmvd.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_parvovirus.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
canine_thoracolumbar_ivde.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cardiac_arrhythmias.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cataract_lens_luxation.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cholangitis_cholecystitis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
chronic_enteropathy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
chronic_kidney_disease.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cirdc_bordetella.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
coccidiosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
collapse_syncope.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
congestive_heart_failure.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
constipation_tenesmus.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
corneal_ulcer_eye_pain.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cough_dyspnea.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
cpr_cardiopulmonary_arrest.json,/management_principles/1: Компрессии и вентиляция имеют приоритет; паузы должны быть минимальны,Burkitt-Creedon et al. 2024 RECOVER Guidelines: Updated treatment recommendations for CPR in dogs and cats https://onlinelibrary.wiley.com/doi/10.1111/vec.13391; BLS recommendations,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
cpr_cardiopulmonary_arrest.json,"/do_not_do/0: Не задерживать компрессии ради интубации, венозного доступа или визуализации",Burkitt-Creedon et al. 2024 RECOVER Guidelines: Updated treatment recommendations for CPR in dogs and cats https://onlinelibrary.wiley.com/doi/10.1111/vec.13391; Initiating BLS,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
critical_care_shock_sepsis_cpr_v1.json,"/management_principles/2: При CPA следовать актуальным RECOVER BLS/ALS, минимизируя паузы компрессий",Burkitt-Creedon et al. 2024 RECOVER Guidelines: Updated treatment recommendations for CPR in dogs and cats https://onlinelibrary.wiley.com/doi/10.1111/vec.13391; BLS recommendations,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
cruciate_ligament_disease.json,/management_principles/0: У активных и средне-крупных собак часто рассматривают хирургическую стабилизацию,ACVS — Cranial Cruciate Ligament Disease https://www.acvs.org/small-animal/cranial-cruciate-ligament-disease/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
demodicosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
dentistry_core_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
dermatologic_procedures_advanced_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
diabetes_mellitus.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
diabetic_ketoacidosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
diagnostic_procedures_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
diarrhea.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
dystocia_reproduction.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
ehrlichiosis_anaplasmosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
endoscopy_advanced_catalog_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
endoscopy_gi_respiratory_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
exocrine_pancreatic_insufficiency.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_calicivirus.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_cardiomyopathy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_felv.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_fiv.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_hemoplasmosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_herpesvirus.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_hyperthyroidism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_lower_urinary_tract.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
feline_panleukopenia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
fibrocartilaginous_embolism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
fip.json,/antiviral_treatment/gs_441524/standard_regimen: Современные рекомендации ABCD указывают 15 мг/кг PO каждые 24 часа как эффективную дозу для большинства кошек с FIP.,"ABCD — Feline Infectious Peritonitis, update 24 March 2026 https://www.abcdcatsvets.org/guideline-for-feline-infectious-peritonitis/; Treatment of FIP / Table 1 — gs_441524","Нет проверяемой ссылки; для ремдесивира смешаны режимы, для EIDD-1931 не обозначена малая выборка.",Проверены только опубликованные доза/путь/интервал. Ремдесивир и EIDD-1931 уточнены; индивидуальный выбор остаётся врачебным.,supported (только это утверждение)
fip.json,"/antiviral_treatment/gs_441524/ocular_or_neurologic: При глазной и особенно неврологической форме могут требоваться более высокие экспозиции; в рекомендациях описано 10–15 мг/кг PO каждые 12 часов, особенно при недостаточном ответе на более низкую дозу.","ABCD — Feline Infectious Peritonitis, update 24 March 2026 https://www.abcdcatsvets.org/guideline-for-feline-infectious-peritonitis/; Treatment of FIP / Table 1 — gs_441524","Нет проверяемой ссылки; для ремдесивира смешаны режимы, для EIDD-1931 не обозначена малая выборка.",Проверены только опубликованные доза/путь/интервал. Ремдесивир и EIDD-1931 уточнены; индивидуальный выбор остаётся врачебным.,supported (только это утверждение)
fip.json,"/antiviral_treatment/remdesivir/published_range: ABCD описывает различные парентеральные режимы: 6–20 мг/кг каждые 24 часа и другие исследовательские схемы. Это диапазон публикаций, не универсальное назначение. Конкретный режим, длительность инфузии и переход на пероральную терапию выбирает лечащий врач по исходному исследованию, форме FIP и препарату.","ABCD — Feline Infectious Peritonitis, update 24 March 2026 https://www.abcdcatsvets.org/guideline-for-feline-infectious-peritonitis/; Treatment of FIP / Table 1 — remdesivir","Нет проверяемой ссылки; для ремдесивира смешаны режимы, для EIDD-1931 не обозначена малая выборка.",Проверены только опубликованные доза/путь/интервал. Ремдесивир и EIDD-1931 уточнены; индивидуальный выбор остаётся врачебным.,supported (только это утверждение)
fip.json,"/antiviral_treatment/molnupiravir/published_regimen: В рекомендациях ABCD описан диапазон 10–20 мг/кг PO каждые 12 часов, обычно 84 дня; нижний диапазон применялся при эффузивном FIP без глазных/неврологических признаков, более высокий — при глазной/неврологической форме.","ABCD — Feline Infectious Peritonitis, update 24 March 2026 https://www.abcdcatsvets.org/guideline-for-feline-infectious-peritonitis/; Treatment of FIP / Table 1 — molnupiravir","Нет проверяемой ссылки; для ремдесивира смешаны режимы, для EIDD-1931 не обозначена малая выборка.",Проверены только опубликованные доза/путь/интервал. Ремдесивир и EIDD-1931 уточнены; индивидуальный выбор остаётся врачебным.,supported (только это утверждение)
fip.json,/antiviral_treatment/eidd_1931/published_regimen: В небольшой серии случаев: 15 мг/кг PO каждые 12 часов; для неврологической формы описаны 20 мг/кг PO каждые 12 часов. Ограниченные данные не позволяют считать схему универсальной; резервное назначение специалистом.,"ABCD — Feline Infectious Peritonitis, update 24 March 2026 https://www.abcdcatsvets.org/guideline-for-feline-infectious-peritonitis/; Treatment of FIP / Table 1 — eidd_1931","Нет проверяемой ссылки; для ремдесивира смешаны режимы, для EIDD-1931 не обозначена малая выборка.",Проверены только опубликованные доза/путь/интервал. Ремдесивир и EIDD-1931 уточнены; индивидуальный выбор остаётся врачебным.,supported (только это утверждение)
fracture_trauma.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
gastrointestinal_bleeding.json,"/management_principles/4: При рвоте, отказе от еды или подозрении на ЖКТ-кровотечение на мелоксикаме не советовать следующую дозу; необходима оценка ветеринаром. Мелоксикам не сочетать с другим НПВС или глюкокортикоидом, включая преднизолон.",Boehringer Ingelheim — Metacam 1.5 mg/ml dogs: contraindications and interactions https://www.noahcompendium.co.uk/?id=-447613; Boehringer Ingelheim — Metacam 0.5 mg/ml cats: contraindications and interactions https://www.noahcompendium.co.uk/?id=-447600; Adverse events; Interaction with other medicinal products,В протоколе взаимодействие было только вопросом анамнеза.,Добавлено явное ограничение следующей дозы и сочетания.,supported (только это утверждение)
gastrointestinal_obstruction.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
gdv_gastric_dilatation_volvulus.json,"/management_principles/1: Хирургическая деротация, оценка жизнеспособности тканей и гастропексия после достаточной первичной стабилизации",ACVS — Gastric Dilatation-Volvulus https://www.acvs.org/small-animal/gastric-dilatation-volvulus/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
giardiasis.json,"/management_principles/3: После лечения оценивать клинический ответ, а не только факт положительного теста",CAPC — Giardia https://capcvet.org/guidelines/giardia/; Follow-up Testing,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
glaucoma_uveitis_red_eye.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
heart_failure.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
heartworm_disease.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hemoabdomen_splenic_mass.json,"/management_principles/0: Реанимация, компоненты крови по показаниям и контроль источника кровотечения",ACVS — Splenic Masses https://www.acvs.org/small-animal/splenic-masses/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
hemoabdomen_splenic_mass.json,/management_principles/1: Не считать массу селезёнки автоматически гемангиосаркомой без гистологии,ACVS — Splenic Masses https://www.acvs.org/small-animal/splenic-masses/; Diagnostics,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
hemostasis_thrombosis_core_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hepatobiliary_disease.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hip_elbow_dysplasia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hyperadrenocorticism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hypercalcemia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hypoadrenocorticism.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hypoglycemia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
hyporexia_anorexia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
idiopathic_epilepsy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
interventional_surgery_advanced_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
intestinal_helminths.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
ischemic_stroke.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
jaundice.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
joint_luxation.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
kidney_disease.json,/management_principles/1: Не пытаться форсировать диурез избыточными инфузиями у олигурического/анурического пациента.,AAHA 2024 Fluid Therapy — Section 6: Fluid Overload https://www.aaha.org/resources/2024-aaha-fluid-therapy-guidelines-for-dogs-and-cats/section-6-fluid-overload/; Fluid overload prevention,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
leptospirosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
lethargy_fever.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
liver_disease.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
lungworms.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
lyme_borreliosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
mammary_reproductive_disease.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
minimally_invasive_surgery_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
muo_meningoencephalitis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
myasthenia_gravis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
nasal_discharge_sneezing.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
neurosurgery_advanced_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
oncology_core_v1.json,/do_not_do/1: Не прогнозировать без типа опухоли и релевантного стадирования,AAHA 2026 Oncology Guidelines — Guidelines at a Glance https://www.aaha.org/resources/2026-aaha-oncology-guidelines-for-dogs-and-cats/; Three takeaways,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
oncology_mass_staging.json,"/management_principles/0: Лечение выбирают после определения типа опухоли, а при необходимости grade/stage",AAHA 2026 Oncology Guidelines — Guidelines at a Glance https://www.aaha.org/resources/2026-aaha-oncology-guidelines-for-dogs-and-cats/; Three takeaways,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
ophthalmic_surgery_advanced_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
ophthalmology_core_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
orthopedic_implants_advanced_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
orthopedic_surgery_methods_v1.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
orthopedic_trauma_core_v1.json,/management_principles/2: При CCL хирургическая стабилизация часто предпочтительна у активных средне-крупных собак,ACVS — Cranial Cruciate Ligament Disease https://www.acvs.org/small-animal/cranial-cruciate-ligament-disease/; Treatment,Не было привязки источника к конкретному утверждению.,Добавлены раздел источника и контроль изменения текста.,supported (только это утверждение)
otodectosis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pancreatitis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pericardial_effusion_tamponade.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
periodontal_disease_dental.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
poisoning_general.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
polyuria_polydipsia.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
protein_losing_enteropathy.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pruritus_dermatology.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pulmonary_hypertension_dog.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pupd.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
pyelonephritis.json,Медицинские утверждения не проверены по полным источникам,—,Недостаточно проверенных доказательств,Не обозначать протокол проверенным; автоматическая проверка структуры не подтверждает медицину,source_review_pending
